entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
AFR,Afrika,region,2012-W37,burned_area_km2,63984.89,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W38,burned_area_km2,52147.39,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W39,burned_area_km2,45599.23,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W40,burned_area_km2,39104.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W41,burned_area_km2,33438.04,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W42,burned_area_km2,31292.64,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W43,burned_area_km2,19943.43,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W44,burned_area_km2,18394.78,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W45,burned_area_km2,23282.65,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W46,burned_area_km2,37939.54,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W47,burned_area_km2,39077.09,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W48,burned_area_km2,48331.08,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W49,burned_area_km2,41992.38,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W50,burned_area_km2,75584.47,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W51,burned_area_km2,82729.27,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2012-W52,burned_area_km2,87313.97,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W01,burned_area_km2,80655.3,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W02,burned_area_km2,71614.52,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W03,burned_area_km2,58718.42,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W04,burned_area_km2,47130.8,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W05,burned_area_km2,62801.82,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W06,burned_area_km2,44547.93,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W07,burned_area_km2,28888.47,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W08,burned_area_km2,48252.14,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W09,burned_area_km2,24096.58,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W10,burned_area_km2,16046.87,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W11,burned_area_km2,10436.13,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W12,burned_area_km2,17162.98,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W13,burned_area_km2,17536.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W14,burned_area_km2,11473.93,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W15,burned_area_km2,14673.84,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W16,burned_area_km2,14998.27,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W17,burned_area_km2,13562.29,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W18,burned_area_km2,16803.62,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W19,burned_area_km2,15557.95,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W20,burned_area_km2,25501.21,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W21,burned_area_km2,34980.17,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W22,burned_area_km2,43967.14,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W23,burned_area_km2,71718.56,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W24,burned_area_km2,63448.64,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W25,burned_area_km2,66126.66,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W26,burned_area_km2,58911.44,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W27,burned_area_km2,57839.85,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W28,burned_area_km2,68632.49,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W29,burned_area_km2,72524.29,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W30,burned_area_km2,81771.92,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W31,burned_area_km2,68096.72,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W32,burned_area_km2,88413.86,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W33,burned_area_km2,120047.24,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W34,burned_area_km2,95293.11,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W35,burned_area_km2,91266.62,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W36,burned_area_km2,86202.89,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W37,burned_area_km2,75633.13,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W38,burned_area_km2,57349.48,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W39,burned_area_km2,47317.37,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W40,burned_area_km2,21010.04,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W41,burned_area_km2,31401.88,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W42,burned_area_km2,30683.52,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W43,burned_area_km2,22188.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W44,burned_area_km2,35622.4,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W45,burned_area_km2,32120.72,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2013-W46,burned_area_km2,35340.98,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
