entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
WLD,Verden,world,-4950,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4930,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4910,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4890,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4870,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4850,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4830,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4810,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4790,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4770,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4750,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4730,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4710,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4690,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4670,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4650,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4630,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4610,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4590,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4570,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4550,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4530,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4510,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4490,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4470,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4450,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4430,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4410,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4390,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4370,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4350,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4330,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4310,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4290,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4270,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4250,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4230,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4210,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4190,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4170,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4150,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4130,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4110,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4090,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4070,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4050,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4030,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-4010,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3990,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3970,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3950,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3930,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3910,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3890,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3870,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3850,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3830,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3810,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3790,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3770,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3750,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3730,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3710,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3690,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3670,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3650,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3630,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3610,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3590,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3570,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3550,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3530,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3510,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3490,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3470,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-3450,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
